"variable","bf_p_value","bf_p_adj","bf_bh_reject","pi_R","E_R_het_int","class_iwaba","delta_E","ci_lower","ci_upper","ci_defined","boot_defined_rate","within_group_dominant"
"COHES",0.0168812475067122,0.0225083300089495,TRUE,0.847615269685347,0.0528053832133061,"Within",-0.431923143195668,-0.433680509337664,-0.396596950975726,TRUE,1,TRUE
"LEAD",0.0852554746499852,0.0852554746499852,FALSE,0.676421973408352,0.0530277981502764,"Within",-0.260639691453642,-0.262904399219296,-0.234165340587485,TRUE,1,TRUE
"WBEING",0.00684821694697924,0.0136964338939585,TRUE,0.849740505489805,0.0559363930986104,"Within",-0.473450634716901,-0.474313203012856,-0.440353785612955,TRUE,1,TRUE
"HRS",1.58361102009508e-11,6.33444408038031e-11,TRUE,0.665536665246259,0.119551642274607,"Within",-2.20776244305927,-2.27972293523029,-1.93233344628259,TRUE,1,TRUE
