"K","n","p","n_rep","info_gain_mean","info_gain_sd","info_gain_mcse","delta_tr_mean","delta_tr_sd","delta_tr_mcse","radius_prop_mean","radius_prop_sd","radius_prop_mcse","mean_eta_B_waba_mean","mean_eta_B_waba_sd","mean_eta_B_waba_mcse","mean_E_waba_mean","mean_E_waba_sd","mean_E_waba_mcse","mean_eta_B_int_mean","mean_eta_B_int_sd","mean_eta_B_int_mcse","mean_E_int_mean","mean_E_int_sd","mean_E_int_mcse","mean_delta_eta_mean","mean_delta_eta_sd","mean_delta_eta_mcse","mean_pi_R_mean","mean_pi_R_sd","mean_pi_R_mcse","mean_E_R_het_int_mean","mean_E_R_het_int_sd","mean_E_R_het_int_mcse","mean_r_R_billard_mean","mean_r_R_billard_sd","mean_r_R_billard_mcse","mean_r_R_het_signed_mean","mean_r_R_het_signed_sd","mean_r_R_het_signed_mcse","prop_r_R_het_positive_mean","prop_r_R_het_positive_sd","prop_r_R_het_positive_mcse","prop_r_R_het_negative_mean","prop_r_R_het_negative_sd","prop_r_R_het_negative_mcse","prop_r_R_het_undefined_mean","prop_r_R_het_undefined_sd","prop_r_R_het_undefined_mcse","level5_mode","scenario","level5_note","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
2,100,2,100,474.77775470731,1908.96521270547,190.896521270547,0.656759188758314,0.0685738246436725,0.00685738246436725,0.973523443115207,0.0315630892634518,0.00315630892634518,0.0753878561520406,0.04580608029185,0.004580608029185,0.0762048865548643,0.0473275602936506,0.00473275602936506,0.505219531578192,0.00660348509973646,0.000660348509973646,0.585553285927646,0.0107165945099197,0.00107165945099197,0.429831675426152,0.0398218289723735,0.00398218289723735,0.973618420921202,0.0309326351684255,0.00309326351684255,0.0330581427388748,0.0178320935930369,0.00178320935930369,0.995640080817424,0.00665782856835813,0.000665782856835813,NA,NA,NA,0.53,0.501613558046592,0.0501613558046592,0.47,0.501613558046592,0.0501613558046592,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.53, P(-)=0.47, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,100,5,100,119.224314250801,663.193024292244,66.3193024292245,1.63901139974707,0.135752400173958,0.0135752400173958,0.969539303674813,0.0237907304506467,0.00237907304506467,0.0796755924253978,0.0338604526412611,0.0033860452641261,0.0805865693301927,0.0348721140049362,0.00348721140049362,0.505820456606892,0.00467631173997213,0.000467631173997213,0.586487213731098,0.00751108470824059,0.000751108470824059,0.426144864181494,0.0294943575328708,0.00294943575328708,0.970546938831307,0.022377796125488,0.0022377796125488,0.0320626813927556,0.0116752855577991,0.00116752855577991,0.996045563005499,0.00297948300316753,0.000297948300316753,NA,NA,NA,0.538,0.187907133736564,0.0187907133736564,0.462,0.187907133736564,0.0187907133736564,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.54, P(-)=0.46, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,100,10,100,46.9648748197593,31.5604308747481,3.15604308747481,3.27316857987116,0.233497638653985,0.0233497638653985,0.970744818838012,0.0180211767058354,0.00180211767058354,0.0794482309740788,0.0266250221611349,0.00266250221611349,0.0802714426058541,0.027345437081333,0.0027345437081333,0.505563645373728,0.00349173906576107,0.000349173906576107,0.586065713850639,0.00556957455400601,0.000556957455400601,0.426115414399649,0.0232823598064804,0.00232823598064804,0.971705593759118,0.0169745289491659,0.00169745289491659,0.0321444926704987,0.00806284260803488,0.000806284260803488,0.995883495145603,0.00183567506534625,0.000183567506534625,NA,NA,NA,0.546666666666667,0.124271163630139,0.0124271163630139,0.453333333333333,0.124271163630139,0.0124271163630139,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.55, P(-)=0.45, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,100,50,100,40.0697959787528,15.103951675321,1.5103951675321,16.34610182035,0.984377753786086,0.0984377753786086,0.969907465024352,0.01611086419219,0.001611086419219,0.0808675539394454,0.023392745348846,0.0023392745348846,0.0817231327970482,0.0240833503941671,0.00240833503941671,0.505735415964228,0.00317446873773691,0.000317446873773691,0.58633640553224,0.00505568243605734,0.000505568243605734,0.424867862024782,0.0202573380691894,0.00202573380691894,0.970849073910421,0.0154668901295655,0.00154668901295655,0.0327388165243805,0.00404109708393105,0.000404109708393105,0.995583932087769,0.000795234842012655,7.95234842012655e-05,NA,NA,NA,0.545371428571429,0.0687427726439778,0.00687427726439778,0.454628571428571,0.0687427726439778,0.00687427726439778,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.55, P(-)=0.45, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,200,2,100,696.55902707034,3326.62118012834,332.662118012834,0.668872125185594,0.0511428603606156,0.00511428603606156,0.987214290389147,0.0103875125456518,0.00103875125456518,0.0533640439781679,0.0263117438123823,0.00263117438123823,0.0535799813751519,0.0265313864927962,0.00265313864927962,0.502436074416111,0.00201207775935022,0.000201207775935022,0.581124148653104,0.00313311238588666,0.000313311238588666,0.449072030437943,0.024419466850564,0.0024419466850564,0.987240272794238,0.0103863299320616,0.00103863299320616,0.0228541102374334,0.0121828158688435,0.00121828158688435,0.99759222136232,0.00364269237428541,0.000364269237428541,NA,NA,NA,0.58,0.496044963748858,0.0496044963748858,0.42,0.496044963748858,0.0496044963748858,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.58, P(-)=0.42, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,200,5,100,125.24652146385,118.116579276168,11.8116579276168,1.66605231669415,0.0918208009483781,0.00918208009483781,0.986625419424771,0.00895076061907927,0.000895076061907927,0.0538671698780912,0.0198117296955667,0.00198117296955667,0.0541095230805483,0.0200249988169431,0.00200249988169431,0.502538644215841,0.00170826096524792,0.000170826096524792,0.581287589514919,0.00266597488997925,0.000266597488997925,0.44867147433775,0.0181832889550685,0.00181832889550685,0.986745565918122,0.00876299937664352,0.000876299937664352,0.0229485768309102,0.00849455877593072,0.000849455877593072,0.997937262895839,0.0016967698913815,0.00016967698913815,NA,NA,NA,0.588,0.230624974336863,0.0230624974336863,0.412,0.230624974336863,0.0230624974336863,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.59, P(-)=0.41, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,200,10,100,94.0833721330399,52.0274606991387,5.20274606991387,3.34056007626705,0.152435656689645,0.0152435656689645,0.985976962013231,0.00791544983451582,0.000791544983451582,0.0553417286308724,0.0163024559226789,0.00163024559226789,0.0555998595036957,0.0164995786782937,0.00164995786782937,0.502657391908171,0.00150751712460522,0.000150751712460522,0.581472811201906,0.00235387179009073,0.000235387179009073,0.447315663277299,0.0148566353060589,0.00148566353060589,0.986135448678068,0.00772122234634396,0.000772122234634396,0.0231977740816806,0.00619300972416905,0.000619300972416905,0.997747551663963,0.00104460898132253,0.000104460898132253,NA,NA,NA,0.542666666666667,0.117596582556451,0.0117596582556451,0.457333333333333,0.117596582556451,0.0117596582556451,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.54, P(-)=0.46, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,200,50,100,79.8285295694175,27.9736780151446,2.79736780151446,16.6463656439691,0.628773035121461,0.0628773035121461,0.985636302081251,0.00592221600052491,0.000592221600052491,0.0558125355150999,0.0121652473555921,0.00121652473555921,0.0560822998151169,0.0123209179127691,0.00123209179127691,0.50271337403119,0.00112427890004246,0.000112427890004246,0.581561347875754,0.00175568555414005,0.000175568555414005,0.44690083851609,0.0110558836620435,0.00110558836620435,0.985858784652093,0.00575715476394359,0.000575715476394359,0.0237389618414988,0.00351440318160743,0.000351440318160743,0.997734472974263,0.000416093423960793,4.16093423960793e-05,NA,NA,NA,0.548938775510204,0.0621007180791434,0.00621007180791434,0.451061224489796,0.0621007180791434,0.00621007180791434,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.55, P(-)=0.45, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,500,2,100,767.274239602205,2775.83877552976,277.583877552976,0.66364435752388,0.02920725577436,0.002920725577436,0.993797920978011,0.00522421279162375,0.000522421279162375,0.037190321205287,0.0171000818487119,0.00171000818487119,0.0372624947091703,0.0171802518264026,0.00171802518264026,0.501169011595104,0.000990685715050715,9.90685715050715e-05,0.579155654783581,0.00153469774064326,0.000153469774064326,0.463978690389817,0.0161677292165679,0.00161677292165679,0.993821991745585,0.00518887568792446,0.000518887568792446,0.0133792464457536,0.00633016253894886,0.000633016253894886,0.999406886161207,0.000873048276713367,8.73048276713367e-05,NA,NA,NA,0.66,0.476095228569523,0.0476095228569523,0.34,0.476095228569523,0.0476095228569523,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.66, P(-)=0.34, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
2,500,5,100,248.641238043719,161.882881575621,16.1882881575621,1.65763882954993,0.0603787625098051,0.00603787625098051,0.99422901949777,0.00347421141419095,0.000347421141419095,0.0358208112281233,0.0119528126846525,0.00119528126846525,0.0358855596067612,0.0120025244151227,0.00120025244151227,0.501089206986205,0.000654607279769568,6.54607279769568e-05,0.579031974365355,0.00101285467087103,0.000101285467087103,0.465268395758082,0.0113252931204182,0.00113252931204182,0.994239473714011,0.00344044754982936,0.000344044754982936,0.013691368080196,0.00488504390116097,0.000488504390116097,0.999267583283602,0.000536138218898341,5.36138218898341e-05,NA,NA,NA,0.55,0.178376517003169,0.0178376517003169,0.45,0.178376517003169,0.0178376517003169,0,0,0,"k2_sign_only","complete_null","K=2 sign-only: P(+)=0.55, P(-)=0.45, undef=0.00",37.5,52.5,0.76732698797896,1.30322537284121
