"pair_label","var1","var2","r_R_billard","r_R_billard_defined","r_R_het","r_R_het_defined"
"COHES--LEAD","COHES","LEAD",0.993452606070581,TRUE,0.220599895170689,TRUE
"COHES--WBEING","COHES","WBEING",0.993288951941057,TRUE,0.24432464315222,TRUE
"COHES--HRS","COHES","HRS",0.979196720045458,TRUE,0.262477723985489,TRUE
"LEAD--WBEING","LEAD","WBEING",0.993267383893042,TRUE,0.244841999012785,TRUE
"LEAD--HRS","LEAD","HRS",0.978446160160006,TRUE,0.223736408535547,TRUE
"WBEING--HRS","WBEING","HRS",0.981002694731706,TRUE,0.362822116208504,TRUE
