"variable","pi_R","E_C_int","E_R_int","E_R_het_int","V_R_het"
"Probe_5308",0.0612965232065746,2.25936119313399,0.577350269189626,0.380984289134046,0.0236564688037787
"Probe_45",0.0664882234157919,2.16335060239116,0.577350269189626,0.218787222176329,0.00838474861322521
"Probe_7185",0.0664882234157919,2.16335060239116,0.577350269189626,0.218787222176329,0.00838474861322521
"Probe_5998",0.085951281778716,1.88277258446221,0.577350269189626,0.306035494037303,0.0205034404800902
"Probe_13266",0.0890255358549481,1.84686510641042,0.577350269189626,0.403290386618993,0.0366866881207197
"Probe_46",0.0901645431807873,1.83401510440645,0.577350269189626,0.211784595650112,0.0102268928114543
"Probe_7186",0.0901645431807873,1.83401510440645,0.577350269189626,0.211784595650112,0.0102268928114543
"Probe_6731",0.108440004670585,1.65546458900174,0.577350269189626,0.193715001900001,0.00998137958634957
"Probe_3597",0.110520921014975,1.63789098968104,0.577350269189626,0.343260729827992,0.0318335067479821
"Probe_5729",0.110743247035406,1.63604156110709,0.577350269189626,0.214427627149268,0.0124426347795457
"Probe_1995",0.111909457513112,1.62642709233524,0.577350269189626,0.420575981605622,0.0482792877318437
"Probe_4454",0.114583357248685,1.60491649894457,0.577350269189626,0.204504126796597,0.0116368971196726
"Probe_4614",0.115057872830462,1.60117439791079,0.577350269189626,0.40722681050262,0.0462983356694105
"Probe_14347",0.117426049525729,1.58282426643294,0.577350269189626,0.333022627013245,0.0314788806910871
"Probe_6457",0.117997756207231,1.57847367415,0.577350269189626,0.275328080800049,0.0216013135402539
"Probe_6732",0.120610653804703,1.55896777003516,0.577350269189626,0.485508449574931,0.0683679133599428
"Probe_7889",0.12428244318095,1.53255655480393,0.577350269189626,0.433135511813922,0.0557402022007871
"Probe_1009",0.124291737155166,1.53249112269261,0.577350269189626,0.294519611094801,0.0257736189095771
"Probe_4351",0.124449693214336,1.53138013708156,0.577350269189626,0.352051668968737,0.0368639173544359
"Probe_7096",0.125368088993454,1.52496026957752,0.577350269189626,0.250342961110909,0.0187505648042209
"Probe_4602",0.12690025565816,1.51439809499583,0.577350269189626,0.282057419363697,0.0240342957618421
"Probe_930",0.127413331964004,1.510901744923,0.577350269189626,0.217654362084272,0.0143578091428639
"Probe_9236",0.12804590414215,1.50661864649926,0.577350269189626,0.372096417692107,0.0421286532695826
"Probe_42",0.12853821019591,1.50330611251397,0.577350269189626,0.297272479782687,0.0269713242820983
"Probe_7182",0.12853821019591,1.50330611251397,0.577350269189626,0.297272479782687,0.0269713242820983
"Probe_2799",0.128588531149326,1.50296854202949,0.577350269189626,0.219151295719691,0.0146627747512441
"Probe_5989",0.129587444040876,1.4963062303035,0.577350269189626,0.455594055840885,0.0637610204599622
"Probe_331",0.130351045217274,1.4912625217439,0.577350269189626,0.33902619894055,0.0354724231539399
"Probe_746",0.131323600553518,1.48489926816527,0.577350269189626,0.210276073065205,0.0137265933377211
"Probe_5320",0.131677053575224,1.48260329684147,0.577350269189626,0.271595754715019,0.0229484442527517
"Probe_3147",0.13249214034248,1.47734192862042,0.577350269189626,0.37507851288047,0.0439816632154536
"Probe_1277",0.133209106007873,1.47275188040217,0.577350269189626,0.420130679852818,0.0554176174826349
"Probe_2384",0.134584052170194,1.46404700181069,0.577350269189626,0.31735859234713,0.0318784549212889
"Probe_928",0.134744502337126,1.4630394237142,0.577350269189626,0.448889821401864,0.0638386827770915
"Probe_8028",0.13475634622428,1.46296511534522,0.577350269189626,0.384272818814191,0.0467857722797091
"Probe_15809",0.135590674139031,1.45775380774754,0.577350269189626,0.355623238304244,0.0402647366833384
"Probe_3365",0.136189754244028,1.45403991993913,0.577350269189626,0.31753075614848,0.0322122941142019
"Probe_6729",0.136321708715101,1.45322501155039,0.577350269189626,0.329071802965806,0.0346227785170329
"Probe_1090",0.136868223038769,1.44986181212898,0.577350269189626,0.263422434389185,0.0222561921220197
"Probe_3539",0.136973988072252,1.44921314680493,0.577350269189626,0.326563797470331,0.0342251037506294
"Probe_6486",0.137909370885303,1.44350717256198,0.577350269189626,0.343731004671004,0.0381210193562143
"Probe_6813",0.13847490253166,1.44008393424356,0.577350269189626,0.264731103931828,0.0226845137225103
"Probe_13869",0.138904524819489,1.43749661154383,0.577350269189626,0.418112838423891,0.0567230703048686
"Probe_5186",0.139098910182741,1.43632968996721,0.577350269189626,0.366563515518859,0.0436461980779745
"Probe_3720",0.139250438085199,1.4354216515424,0.577350269189626,0.295466590113688,0.0283814507448529
"Probe_6142",0.141069473725261,1.42462928793274,0.577350269189626,0.357999751088791,0.0420906558815723
"Probe_3909",0.141267999998568,1.42346337591871,0.577350269189626,0.440758843914162,0.0638702466801623
"Probe_11812",0.141332665847554,1.42308410551921,0.577350269189626,0.406555358608389,0.0543614289470575
"Probe_2452",0.141708180926074,1.42088653133969,0.577350269189626,0.368545252090318,0.0447642469914363
"Probe_7001",0.142130645674896,1.4184240459106,0.577350269189626,0.526039813396332,0.0914100311388568
