"scenario","K","n","p","n_rep","mean_eta_B_waba_mean","mean_eta_B_waba_sd","mean_eta_B_waba_mcse","mean_E_waba_mean","mean_E_waba_sd","mean_E_waba_mcse","n_between_waba_mean","n_between_waba_sd","n_between_waba_mcse","any_between_waba_mean","any_between_waba_sd","any_between_waba_mcse","n_equivocal_waba_mean","n_equivocal_waba_sd","n_equivocal_waba_mcse","mean_eta_B_int_mean","mean_eta_B_int_sd","mean_eta_B_int_mcse","mean_delta_eta_mean","mean_delta_eta_sd","mean_delta_eta_mcse","mean_pi_R_mean","mean_pi_R_sd","mean_pi_R_mcse","mean_E_R_het_int_mean","mean_E_R_het_int_sd","mean_E_R_het_int_mcse","info_gain_mean","info_gain_sd","info_gain_mcse","bf_reject_count_mean","bf_reject_count_sd","bf_reject_count_mcse","bf_any_reject_mean","bf_any_reject_sd","bf_any_reject_mcse","bf_min_p_mean","bf_min_p_sd","bf_min_p_mcse","welch_reject_count_mean","welch_reject_count_sd","welch_reject_count_mcse","welch_any_reject_mean","welch_any_reject_sd","welch_any_reject_mcse","welch_min_p_mean","welch_min_p_sd","welch_min_p_mcse","alpha","equivocal_within_deg","equivocal_between_deg","equivocal_within_threshold","equivocal_between_threshold"
"complete_null",2,500,10,100,0.0377958569122537,0.0136923364991486,0.00136923364991486,0.0378760910846406,0.0137746462944309,0.00137746462944309,0,0,0,0,0,0,0,0,0,0.501227357101793,0.000878503890982765,8.78503890982765e-05,0.463431500189539,0.0128401851497977,0.00128401851497977,0.993521647946417,0.00458752267695996,0.000458752267695996,0.0143530013835631,0.00359523961106476,0.000359523961106476,220.589854783849,150.803751953194,15.0803751953194,0.03,0.171446607997765,0.0171446607997765,0.03,0.171446607997765,0.0171446607997765,0.100921597332816,0.0858924219270307,0.00858924219270307,0.59,1.11096463681002,0.111096463681002,0.35,0.479372485441102,0.0479372485441102,0.106993409148155,0.0950857805892405,0.00950857805892405,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",3,500,10,100,0.0555339398903872,0.0131909465728727,0.00131909465728727,0.0556950111723897,0.0133031638263794,0.00133031638263794,0,0,0,0,0,0,0,0,0,0.502177914663873,0.00103377138153518,0.000103377138153518,0.446643974773486,0.0121807583877334,0.00121807583877334,0.988532688429374,0.00536789975754562,0.000536789975754562,0.0234435236996864,0.00416456722570954,0.000416456722570954,104.380843871833,47.0675427742118,4.70675427742118,0.07,0.256432399976243,0.0256432399976243,0.07,0.256432399976243,0.0256432399976243,0.0911732766805075,0.0835034854850647,0.00835034854850647,0.47,0.926108399528245,0.0926108399528245,0.3,0.460566186471838,0.0460566186471838,0.126286596811425,0.110148579142931,0.0110148579142931,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",5,500,10,100,0.0866332560173054,0.0128346150493798,0.00128346150493798,0.0870918176249624,0.0130277401563764,0.00130277401563764,0,0,0,0,0,0,0,0,0,0.504739548662591,0.00138267209122776,0.000138267209122776,0.418106292645286,0.0114753874547076,0.00114753874547076,0.975236745255649,0.0070832546076933,0.00070832546076933,0.0342946236862865,0.00415610895553388,0.000415610895553388,43.4932186345593,12.7796392797805,1.27796392797805,0.05,0.21904291355759,0.021904291355759,0.05,0.21904291355759,0.021904291355759,0.102816042054091,0.102088331057312,0.0102088331057312,0.59,0.766666666666667,0.0766666666666667,0.45,0.5,0.05,0.0983328943822668,0.100547629898544,0.0100547629898544,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"complete_null",10,500,10,100,0.131307964196526,0.0145414675747739,0.00145414675747739,0.132658528202598,0.0149883928341118,0.00149883928341118,0,0,0,0,0,0,0,0,0,0.510175894464839,0.00223152252974523,0.000223152252974523,0.378867930268313,0.0123235548985715,0.00123235548985715,0.947664961979537,0.0110674516378825,0.00110674516378825,0.0542055236833785,0.0044480994965732,0.00044480994965732,19.8174532331985,3.9062446266718,0.39062446266718,0.04,0.196946385566932,0.0196946385566932,0.04,0.196946385566932,0.0196946385566932,0.105875936419891,0.0918866505530267,0.00918866505530267,0.58,0.889671372763647,0.0889671372763647,0.39,0.490207130000197,0.0490207130000197,0.107444062766349,0.103124081117242,0.0103124081117242,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",2,500,10,100,0.0360823118923352,0.00894435325533193,0.000894435325533193,0.0361566209673874,0.00899215928495316,0.000899215928495317,0,0,0,0,0,0,0,0,0,0.50114486485406,0.00055843620262127,5.5843620262127e-05,0.465062552961724,0.00843159806176533,0.000843159806176533,0.993957377743131,0.00291166245270674,0.000291166245270674,0.336453510434385,0.0286470902474549,0.00286470902474549,210.765014243336,117.232993492426,11.7232993492426,10,0,0,1,0,0,0,0,0,0.47,0.717106982424815,0.0717106982424815,0.36,0.482418151324422,0.0482418151324422,0.102519676475188,0.0888000816251208,0.00888000816251208,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",3,500,10,100,0.0526645851123021,0.0104530112778804,0.00104530112778804,0.0528407876202758,0.010580527647096,0.0010580527647096,0,0,0,0,0,0,0,0,0,0.502123209223825,0.000940389354674374,9.40389354674374e-05,0.449458624111523,0.00957796560834439,0.000957796560834439,0.988869174845136,0.00475633211005607,0.000475633211005607,0.293143664427203,0.0254233361809059,0.00254233361809059,104.153794019358,42.7600693087472,4.27600693087472,10,0,0,1,0,0,0,0,0,0.49,0.627565441877087,0.0627565441877087,0.42,0.496044963748858,0.0496044963748858,0.08842972713152,0.0775879122227979,0.00775879122227979,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",5,500,10,100,0.0816318049988934,0.0105829069318131,0.00105829069318131,0.0820718938551496,0.010755275139341,0.0010755275139341,0,0,0,0,0,0,0,0,0,0.504412229128146,0.00117410488334041,0.000117410488334041,0.422780424129253,0.00944115671393506,0.000944115671393506,0.976987863110217,0.00597825175272447,0.000597825175272447,0.265090971937694,0.0210690219517442,0.00210690219517442,46.2802078181357,13.4408585912081,1.34408585912081,10,0,0,1,0,0,0,0,0,0.47,0.688359196813977,0.0688359196813977,0.37,0.48523658709391,0.048523658709391,0.096733656709752,0.0861578687575961,0.00861578687575961,0.05,37.5,52.5,0.76732698797896,1.30322537284121
"spread_only",10,500,10,100,0.132133438817622,0.0108080086362084,0.00108080086362084,0.133618935418268,0.011186551502534,0.0011186551502534,0,0,0,0,0,0,0,0,0,0.510548047963874,0.00176257121123968,0.000176257121123968,0.378414609146252,0.00909020999198525,0.000909020999198525,0.946010008475632,0.00859077106060104,0.000859077106060104,0.250091925009374,0.0138946345815021,0.00138946345815021,18.8426611240458,3.0830909796936,0.30830909796936,10,0,0,1,0,0,0,0,0,0.61,0.827494697715626,0.0827494697715626,0.42,0.496044963748858,0.0496044963748858,0.0918928457574238,0.0848113079820776,0.00848113079820776,0.05,37.5,52.5,0.76732698797896,1.30322537284121
