"variable","eta_B_waba","eta_W_waba","E_waba","eta_B_int","eta_W_int","E_int","delta_eta_B","E_ratio","class_waba","class_iwaba","V_C","V_R","V_W","delta_E","ICC1"
"COHES",0.237778600133842,0.971319379667878,0.24479960465233,0.531280497927966,0.847195982356746,0.627104600342933,0.293501897794124,2.56170593589627,"Within","Within",0.0426604468873002,0.237291795041484,0.711875385124453,-0.431923143195668,0.0565386626816086
"LEAD",0.370845445230168,0.928694597675704,0.399319050803465,0.574554592666759,0.818466260786316,0.701989342987423,0.203709147436591,1.75796607142824,"Within","Within",0.0819392494736291,0.171289470463636,0.513868411390907,-0.260639691453642,0.137526344247958
"WBEING",0.235928726420388,0.971770361788038,0.242782385322273,0.530803095832096,0.847495176065954,0.626319902251322,0.294874369411708,2.5797584178932,"Within","Within",0.04592012975021,0.259685382233555,0.779056146700666,-0.473450634716901,0.0556623639503465
"HRS",0.378788067883903,0.925483441034349,0.409286704752446,0.577676749219998,0.81626562674819,0.707706817842282,0.198888681336094,1.72912242109192,"Within","Within",0.740927335875544,1.47434488946741,4.42303466840222,-2.20776244305927,0.143480400371225
