"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"spread_only",2,500,10,60,45,0.466666666666667,0.533333333333333,0,1.05830662362955,-0.00200087790267698
"spread_only",2,500,10,61,45,0.444444444444444,0.555555555555556,0,1.10172720821871,-0.0045388830315472
"spread_only",2,500,10,62,45,0.444444444444444,0.555555555555556,0,1.10610429957034,-0.00180724692919334
"spread_only",2,500,10,63,45,0.444444444444444,0.555555555555556,0,1.10574805623918,-0.00146382775541985
"spread_only",2,500,10,64,45,0.466666666666667,0.533333333333333,0,1.04683361584291,-0.00343611836662368
"spread_only",2,500,10,65,45,0.444444444444444,0.555555555555556,0,1.10331708668783,-0.00226461196741126
"spread_only",2,500,10,66,45,0.533333333333333,0.466666666666667,0,0.922932511591624,-0.00510736768891648
"spread_only",2,500,10,67,45,0.466666666666667,0.533333333333333,0,1.06094544697991,-0.00199684071696146
"spread_only",2,500,10,68,45,0.466666666666667,0.533333333333333,0,1.06093929886119,-0.00217499244774467
"spread_only",2,500,10,69,45,0.466666666666667,0.533333333333333,0,1.06377753363011,-0.00178881465734372
"spread_only",2,500,10,70,45,0.533333333333333,0.466666666666667,0,0.924875590408547,-0.00251155522648158
"spread_only",2,500,10,71,45,0.466666666666667,0.533333333333333,0,1.06076015412238,-0.00309668215901456
"spread_only",2,500,10,72,45,0.533333333333333,0.466666666666667,0,0.92909264013499,-0.00131813071203487
"spread_only",2,500,10,73,45,0.466666666666667,0.533333333333333,0,1.05956490114382,-0.00374045157758626
"spread_only",2,500,10,74,45,0.466666666666667,0.533333333333333,0,1.06291170413367,-0.00165712106056229
"spread_only",2,500,10,75,45,0.533333333333333,0.466666666666667,0,0.92940117314615,-0.00180107367373732
"spread_only",2,500,10,76,45,0.644444444444444,0.355555555555556,0,0.707315538710141,-0.00358763990025345
"spread_only",2,500,10,77,45,0.8,0.2,0,0.395909412214322,-0.00314977136333882
"spread_only",2,500,10,78,45,0.533333333333333,0.466666666666667,0,0.925000152464883,-0.00324154144511617
"spread_only",2,500,10,79,45,0.644444444444444,0.355555555555556,0,0.703452527340943,-0.00180427891704747
"spread_only",2,500,10,80,45,0.466666666666667,0.533333333333333,0,1.05812345442975,-0.00186634252248659
"spread_only",2,500,10,81,45,0.444444444444444,0.555555555555556,0,1.09886744314206,-0.00385177946023572
"spread_only",2,500,10,82,45,0.466666666666667,0.533333333333333,0,1.06338428153411,-0.00116723123004406
"spread_only",2,500,10,83,45,0.466666666666667,0.533333333333333,0,1.05995986614188,-0.00184033430089855
"spread_only",2,500,10,84,45,1,0,0,-0.00181987647296466,-0.00181987647296466
"spread_only",2,500,10,85,45,0.466666666666667,0.533333333333333,0,1.05698389506685,-0.00339190056992941
"spread_only",2,500,10,86,45,0.466666666666667,0.533333333333333,0,1.05957243961064,-0.00315043001020975
"spread_only",2,500,10,87,45,0.466666666666667,0.533333333333333,0,1.06297852365373,-0.00180902587744288
"spread_only",2,500,10,88,45,0.533333333333333,0.466666666666667,0,0.931198266700033,-0.00116584337646051
"spread_only",2,500,10,89,45,0.466666666666667,0.533333333333333,0,1.05742110924078,-0.0022373120794539
"spread_only",2,500,10,90,45,0.466666666666667,0.533333333333333,0,1.06366038693214,-0.00102214848146052
"spread_only",2,500,10,91,45,0.533333333333333,0.466666666666667,0,0.928474997446549,-0.00213381973661054
"spread_only",2,500,10,92,45,0.466666666666667,0.533333333333333,0,1.05808931769973,-0.00110008560159349
"spread_only",2,500,10,93,45,0.466666666666667,0.533333333333333,0,1.0574684409137,-0.00505672164756777
"spread_only",2,500,10,94,45,0.466666666666667,0.533333333333333,0,1.06266871649998,-0.00178906494683711
"spread_only",2,500,10,95,45,0.466666666666667,0.533333333333333,0,1.0638205008018,-0.000858311742556731
"spread_only",2,500,10,96,45,0.466666666666667,0.533333333333333,0,1.06383206679936,-0.00131082941594201
"spread_only",2,500,10,97,45,0.466666666666667,0.533333333333333,0,1.06278392429076,-0.00179738864408572
"spread_only",2,500,10,98,45,0.444444444444444,0.555555555555556,0,1.1065181082774,-0.00177628645167443
"spread_only",2,500,10,99,45,0.533333333333333,0.466666666666667,0,0.92841108260951,-0.0009118604181536
"spread_only",2,500,10,100,45,0.644444444444444,0.355555555555556,0,0.702926941232859,-0.00466050959774321
"spread_only",3,500,10,1,45,0.0222222222222222,0.977777777777778,0,0.945926211050456,-0.00278530770240315
"spread_only",3,500,10,2,45,0,1,0,1.01412904167163,0
"spread_only",3,500,10,3,45,0,1,0,0.958420318601565,0
"spread_only",3,500,10,4,45,0,1,0,1.0895869686702,0
"spread_only",3,500,10,5,45,0,1,0,1.02051337923672,0
"spread_only",3,500,10,6,45,0.133333333333333,0.866666666666667,0,0.998704312087319,-0.00251336119766519
"spread_only",3,500,10,7,45,0.0444444444444444,0.955555555555556,0,0.958187402896391,-0.00309072228361401
"spread_only",3,500,10,8,45,0,1,0,0.884368871151998,0
"spread_only",3,500,10,9,45,0.0222222222222222,0.977777777777778,0,1.0198861925944,-0.000994132430181982
"spread_only",3,500,10,10,45,0.0222222222222222,0.977777777777778,0,0.858465037459552,-0.00295619257898916
"spread_only",3,500,10,11,45,0.0222222222222222,0.977777777777778,0,1.05425250499512,-0.00866080680779102
"spread_only",3,500,10,12,45,0,1,0,1.01287060132537,0
"spread_only",3,500,10,13,45,0.0222222222222222,0.977777777777778,0,0.769294479914056,-0.00483991996593336
"spread_only",3,500,10,14,45,0,1,0,1.04669600557129,0
"spread_only",3,500,10,15,45,0.0666666666666667,0.933333333333333,0,0.938500642731759,-0.00313128458370907
"spread_only",3,500,10,16,45,0.0444444444444444,0.955555555555556,0,0.777387728197721,-0.00632563655522411
"spread_only",3,500,10,17,45,0.0444444444444444,0.955555555555556,0,1.01388601338166,-0.0028351781255096
"spread_only",3,500,10,18,45,0.0222222222222222,0.977777777777778,0,0.973182451554398,-0.00289291021882565
"spread_only",3,500,10,19,45,0.0222222222222222,0.977777777777778,0,1.00753821402726,-0.000701881401180549
"spread_only",3,500,10,20,45,0.0444444444444444,0.955555555555556,0,0.774572850742078,-0.00315189314173026
"spread_only",3,500,10,21,45,0.0222222222222222,0.977777777777778,0,0.830337252934307,-0.00250624440573088
"spread_only",3,500,10,22,45,0.0444444444444444,0.955555555555556,0,1.07246765831529,-0.00290101524370207
"spread_only",3,500,10,23,45,0.0222222222222222,0.977777777777778,0,0.875192505942734,-0.0044534846291332
"spread_only",3,500,10,24,45,0.0666666666666667,0.933333333333333,0,0.663865332390256,-0.00423747331749846
"spread_only",3,500,10,25,45,0.0222222222222222,0.977777777777778,0,0.835440347603129,-6.86505515312685e-05
"spread_only",3,500,10,26,45,0.0222222222222222,0.977777777777778,0,0.891031689258625,-0.00871256671108067
"spread_only",3,500,10,27,45,0.0444444444444444,0.955555555555556,0,0.980995975436024,-0.000609950741940091
"spread_only",3,500,10,28,45,0.0444444444444444,0.955555555555556,0,1.03984117616082,-0.00332576428767872
"spread_only",3,500,10,29,45,0.0222222222222222,0.977777777777778,0,1.0430978568054,-0.00771293457746425
"spread_only",3,500,10,30,45,0.0222222222222222,0.977777777777778,0,0.904987302763119,-0.00424416495047553
"spread_only",3,500,10,31,45,0.0666666666666667,0.933333333333333,0,1.00350847111021,-0.0122230248675363
"spread_only",3,500,10,32,45,0.0222222222222222,0.977777777777778,0,0.995987163412323,-0.00968834124925
"spread_only",3,500,10,33,45,0.0222222222222222,0.977777777777778,0,1.03059664358953,-0.0154935931230006
"spread_only",3,500,10,34,45,0.0666666666666667,0.933333333333333,0,0.680633872145443,-0.00127031334309343
"spread_only",3,500,10,35,45,0.0444444444444444,0.955555555555556,0,1.07318338320373,-0.00642472832814511
"spread_only",3,500,10,36,45,0.0222222222222222,0.977777777777778,0,0.846423849650984,-0.00193923303340093
"spread_only",3,500,10,37,45,0.0444444444444444,0.955555555555556,0,1.08980656781271,-0.00200991475803863
"spread_only",3,500,10,38,45,0.0444444444444444,0.955555555555556,0,1.00524840889273,-0.0171560456099003
"spread_only",3,500,10,39,45,0.0222222222222222,0.977777777777778,0,0.891356208720445,-0.00087702801858025
"spread_only",3,500,10,40,45,0.0444444444444444,0.955555555555556,0,0.936932035133389,-0.00104441276773615
"spread_only",3,500,10,41,45,0.0222222222222222,0.977777777777778,0,0.554642086935549,-0.00141221912486633
"spread_only",3,500,10,42,45,0.0888888888888889,0.911111111111111,0,1.09399876796464,-0.00363949827995394
"spread_only",3,500,10,43,45,0.0444444444444444,0.955555555555556,0,0.852817944274909,-0.00184740826869506
"spread_only",3,500,10,44,45,0.0222222222222222,0.977777777777778,0,1.08904755646846,-0.00102366694677436
"spread_only",3,500,10,45,45,0.0666666666666667,0.933333333333333,0,1.02240381974475,-0.00250979476899771
"spread_only",3,500,10,46,45,0.0444444444444444,0.955555555555556,0,1.00268153230422,-0.00949342670840675
"spread_only",3,500,10,47,45,0.0222222222222222,0.977777777777778,0,0.789097809603449,-0.000618556135580151
"spread_only",3,500,10,48,45,0,1,0,0.965760317873387,0
"spread_only",3,500,10,49,45,0.0444444444444444,0.955555555555556,0,1.07624624072195,-0.00293462519899063
"spread_only",3,500,10,50,45,0.0666666666666667,0.933333333333333,0,0.938097362835356,-0.00315473396447112
"spread_only",3,500,10,51,45,0.0222222222222222,0.977777777777778,0,1.03814635115659,-0.00154972243378204
"spread_only",3,500,10,52,45,0.0222222222222222,0.977777777777778,0,0.920107259236044,-0.00712948157867577
"spread_only",3,500,10,53,45,0.0222222222222222,0.977777777777778,0,0.93910618851737,-0.000189638468040765
"spread_only",3,500,10,54,45,0,1,0,1.06145534924973,0
"spread_only",3,500,10,55,45,0.0444444444444444,0.955555555555556,0,1.08956213410386,-0.00592507224820477
"spread_only",3,500,10,56,45,0.0222222222222222,0.977777777777778,0,1.02232415202731,-0.00707124581256346
"spread_only",3,500,10,57,45,0,1,0,0.908800609031783,0
"spread_only",3,500,10,58,45,0,1,0,1.03435147574023,0
"spread_only",3,500,10,59,45,0.0444444444444444,0.955555555555556,0,1.09026166428635,-0.00122108908352808
"spread_only",3,500,10,60,45,0.0888888888888889,0.911111111111111,0,1.07430794787041,-0.00643947019910415
"spread_only",3,500,10,61,45,0.0666666666666667,0.933333333333333,0,0.910667990764543,-0.0022550824872839
"spread_only",3,500,10,62,45,0.111111111111111,0.888888888888889,0,0.869265195226034,-0.00888698263235164
"spread_only",3,500,10,63,45,0,1,0,1.03227171271495,0
"spread_only",3,500,10,64,45,0.0222222222222222,0.977777777777778,0,0.807890936757161,-0.00154622533907467
"spread_only",3,500,10,65,45,0,1,0,1.01008965733053,0
"spread_only",3,500,10,66,45,0.0222222222222222,0.977777777777778,0,1.00110023972402,-0.00537776616899555
"spread_only",3,500,10,67,45,0.0222222222222222,0.977777777777778,0,0.987437351249262,-0.00408058502015896
"spread_only",3,500,10,68,45,0.0444444444444444,0.955555555555556,0,1.07544239621264,-0.0081495090393765
"spread_only",3,500,10,69,45,0.0222222222222222,0.977777777777778,0,1.07788740336439,-0.000310042036438585
"spread_only",3,500,10,70,45,0.0444444444444444,0.955555555555556,0,0.916216688466435,-0.00771493389658723
"spread_only",3,500,10,71,45,0,1,0,0.913163096944799,0
"spread_only",3,500,10,72,45,0.0222222222222222,0.977777777777778,0,1.0928823926058,-0.00430082670350485
"spread_only",3,500,10,73,45,0.0222222222222222,0.977777777777778,0,0.944914570810323,-0.000424719503158477
"spread_only",3,500,10,74,45,0.0222222222222222,0.977777777777778,0,1.04867578328804,-0.00563700558623359
"spread_only",3,500,10,75,45,0.0222222222222222,0.977777777777778,0,1.06474655190693,-0.00327449101098298
"spread_only",3,500,10,76,45,0.0222222222222222,0.977777777777778,0,0.878460471187167,-0.00264153874136175
"spread_only",3,500,10,77,45,0.0444444444444444,0.955555555555556,0,1.06567845274392,-0.0132541664933859
"spread_only",3,500,10,78,45,0.0222222222222222,0.977777777777778,0,1.05139909646992,-0.0068702408673571
"spread_only",3,500,10,79,45,0.0444444444444444,0.955555555555556,0,0.99731122318882,-0.00952661995853682
"spread_only",3,500,10,80,45,0.0222222222222222,0.977777777777778,0,1.00681254274491,-0.010202162468727
"spread_only",3,500,10,81,45,0.0444444444444444,0.955555555555556,0,1.01296272592846,-0.00607795002982314
"spread_only",3,500,10,82,45,0.0222222222222222,0.977777777777778,0,1.07780855307559,-0.000639870124203634
"spread_only",3,500,10,83,45,0.0666666666666667,0.933333333333333,0,1.01343435720644,-0.00451647879684447
"spread_only",3,500,10,84,45,0,1,0,1.09517446395218,0
"spread_only",3,500,10,85,45,0.0222222222222222,0.977777777777778,0,0.976592040162308,-0.000615372503779077
"spread_only",3,500,10,86,45,0.0888888888888889,0.911111111111111,0,0.755237723684217,-0.00566891207925796
"spread_only",3,500,10,87,45,0.0222222222222222,0.977777777777778,0,1.09948315530159,-0.0028930666436161
"spread_only",3,500,10,88,45,0.0222222222222222,0.977777777777778,0,1.06196056802063,-0.00164145012729255
"spread_only",3,500,10,89,45,0.0222222222222222,0.977777777777778,0,0.923886256181971,-0.00301906913064509
"spread_only",3,500,10,90,45,0,1,0,1.02107894638355,0
"spread_only",3,500,10,91,45,0,1,0,0.959929229914018,0
"spread_only",3,500,10,92,45,0,1,0,0.957183657748908,0
"spread_only",3,500,10,93,45,0.0888888888888889,0.911111111111111,0,1.07417087447339,-0.00592238446129204
"spread_only",3,500,10,94,45,0.0222222222222222,0.977777777777778,0,0.911868761142963,-0.00262268432893764
"spread_only",3,500,10,95,45,0.0222222222222222,0.977777777777778,0,1.04023786317547,-0.00632283098720965
"spread_only",3,500,10,96,45,0.0222222222222222,0.977777777777778,0,0.991076906905821,-0.000516488121984793
"spread_only",3,500,10,97,45,0.0222222222222222,0.977777777777778,0,1.03646528996522,-0.00281125074908894
"spread_only",3,500,10,98,45,0,1,0,1.06096943554418,0
"spread_only",3,500,10,99,45,0.0666666666666667,0.933333333333333,0,0.69780640201235,-0.00416167233786861
"spread_only",3,500,10,100,45,0.0222222222222222,0.977777777777778,0,0.942941518000357,-0.00084387324599855
"spread_only",5,500,10,1,45,0,1,0,1.00235141828759,0
"spread_only",5,500,10,2,45,0,1,0,0.993713021874992,0
"spread_only",5,500,10,3,45,0,1,0,1.0660352147394,0
"spread_only",5,500,10,4,45,0,1,0,0.985400073076474,0
"spread_only",5,500,10,5,45,0,1,0,0.960684426782066,0
"spread_only",5,500,10,6,45,0,1,0,1.06253105585357,0
"spread_only",5,500,10,7,45,0,1,0,0.98355836819793,0
"spread_only",5,500,10,8,45,0,1,0,0.951300581549288,0
"spread_only",5,500,10,9,45,0,1,0,1.03603398992832,0
"spread_only",5,500,10,10,45,0,1,0,0.874706058797364,0
"spread_only",5,500,10,11,45,0.0222222222222222,0.977777777777778,0,1.03015635572088,-0.00338256934563586
"spread_only",5,500,10,12,45,0,1,0,0.957183924727952,0
"spread_only",5,500,10,13,45,0,1,0,1.01230994216317,0
"spread_only",5,500,10,14,45,0,1,0,1.03649725449202,0
"spread_only",5,500,10,15,45,0,1,0,0.965894595815366,0
"spread_only",5,500,10,16,45,0,1,0,1.02222774606568,0
"spread_only",5,500,10,17,45,0,1,0,1.03304548739332,0
"spread_only",5,500,10,18,45,0,1,0,0.942655441959106,0
"spread_only",5,500,10,19,45,0,1,0,0.952144042616252,0
"spread_only",5,500,10,20,45,0,1,0,0.841185851383821,0
"spread_only",5,500,10,21,45,0,1,0,0.992125004782262,0
"spread_only",5,500,10,22,45,0,1,0,0.834103160824235,0
"spread_only",5,500,10,23,45,0,1,0,0.942014593756214,0
"spread_only",5,500,10,24,45,0,1,0,1.06876639001659,0
"spread_only",5,500,10,25,45,0,1,0,0.958064008342139,0
"spread_only",5,500,10,26,45,0,1,0,0.980161539302446,0
"spread_only",5,500,10,27,45,0,1,0,1.06020915334354,0
"spread_only",5,500,10,28,45,0,1,0,0.941052657101297,0
"spread_only",5,500,10,29,45,0,1,0,0.907301333342258,0
"spread_only",5,500,10,30,45,0,1,0,0.9193805655345,0
"spread_only",5,500,10,31,45,0,1,0,0.886606303256526,0
"spread_only",5,500,10,32,45,0,1,0,1.01198193189165,0
"spread_only",5,500,10,33,45,0,1,0,1.03593194080448,0
"spread_only",5,500,10,34,45,0,1,0,0.97850131380996,0
"spread_only",5,500,10,35,45,0,1,0,1.04178853714329,0
"spread_only",5,500,10,36,45,0,1,0,0.984569127226059,0
"spread_only",5,500,10,37,45,0,1,0,0.987698969421901,0
"spread_only",5,500,10,38,45,0,1,0,0.954090393596839,0
"spread_only",5,500,10,39,45,0,1,0,1.01333653155215,0
"spread_only",5,500,10,40,45,0,1,0,0.972062352151638,0
"spread_only",5,500,10,41,45,0,1,0,0.85992815745703,0
"spread_only",5,500,10,42,45,0,1,0,1.03808046239668,0
"spread_only",5,500,10,43,45,0,1,0,0.657059722584817,0
"spread_only",5,500,10,44,45,0,1,0,1.07039249543256,0
"spread_only",5,500,10,45,45,0,1,0,1.02865959747287,0
"spread_only",5,500,10,46,45,0,1,0,0.897474517136996,0
"spread_only",5,500,10,47,45,0,1,0,1.02451539085409,0
"spread_only",5,500,10,48,45,0,1,0,1.05932521671212,0
"spread_only",5,500,10,49,45,0,1,0,1.07731667600587,0
"spread_only",5,500,10,50,45,0,1,0,0.923774756696593,0
"spread_only",5,500,10,51,45,0,1,0,1.06127927875496,0
"spread_only",5,500,10,52,45,0,1,0,1.06119791978148,0
"spread_only",5,500,10,53,45,0,1,0,0.999434628612427,0
"spread_only",5,500,10,54,45,0,1,0,1.04902425985845,0
"spread_only",5,500,10,55,45,0,1,0,1.00326281764203,0
"spread_only",5,500,10,56,45,0,1,0,0.851509053434005,0
"spread_only",5,500,10,57,45,0,1,0,1.05970512441875,0
"spread_only",5,500,10,58,45,0,1,0,0.996264445202711,0
"spread_only",5,500,10,59,45,0,1,0,0.904411410304216,0
"spread_only",5,500,10,60,45,0,1,0,1.04308433431087,0
"spread_only",5,500,10,61,45,0,1,0,1.06872929197506,0
"spread_only",5,500,10,62,45,0,1,0,0.864835374024567,0
"spread_only",5,500,10,63,45,0,1,0,1.04844563361082,0
"spread_only",5,500,10,64,45,0,1,0,1.05197813009661,0
"spread_only",5,500,10,65,45,0,1,0,0.819050083055885,0
"spread_only",5,500,10,66,45,0,1,0,1.07047936941439,0
"spread_only",5,500,10,67,45,0,1,0,1.05632346958273,0
"spread_only",5,500,10,68,45,0,1,0,0.947972628275178,0
"spread_only",5,500,10,69,45,0,1,0,1.05530748243735,0
"spread_only",5,500,10,70,45,0,1,0,0.889109512543117,0
"spread_only",5,500,10,71,45,0,1,0,0.968627259956371,0
"spread_only",5,500,10,72,45,0,1,0,0.887672469022722,0
"spread_only",5,500,10,73,45,0,1,0,0.989609264663619,0
"spread_only",5,500,10,74,45,0,1,0,0.940486385875954,0
"spread_only",5,500,10,75,45,0,1,0,1.06343545898931,0
"spread_only",5,500,10,76,45,0,1,0,0.916524946666863,0
"spread_only",5,500,10,77,45,0,1,0,0.872062490142112,0
"spread_only",5,500,10,78,45,0.0222222222222222,0.977777777777778,0,0.894652468157369,-0.00127576133633533
"spread_only",5,500,10,79,45,0,1,0,0.983510904942515,0
"spread_only",5,500,10,80,45,0,1,0,0.995655853816323,0
"spread_only",5,500,10,81,45,0,1,0,0.928079571683517,0
"spread_only",5,500,10,82,45,0,1,0,0.944349459211506,0
"spread_only",5,500,10,83,45,0,1,0,0.915994628428337,0
"spread_only",5,500,10,84,45,0,1,0,0.991359097182276,0
"spread_only",5,500,10,85,45,0,1,0,0.991736938025454,0
"spread_only",5,500,10,86,45,0,1,0,0.943573083198554,0
"spread_only",5,500,10,87,45,0,1,0,0.906443015656063,0
"spread_only",5,500,10,88,45,0,1,0,1.08195766140884,0
"spread_only",5,500,10,89,45,0,1,0,1.009686791091,0
"spread_only",5,500,10,90,45,0,1,0,0.921171718571882,0
"spread_only",5,500,10,91,45,0,1,0,1.02843518979568,0
"spread_only",5,500,10,92,45,0,1,0,1.04680277405931,0
"spread_only",5,500,10,93,45,0,1,0,1.00429208120351,0
"spread_only",5,500,10,94,45,0,1,0,0.898657893679711,0
"spread_only",5,500,10,95,45,0,1,0,1.03220971237646,0
"spread_only",5,500,10,96,45,0,1,0,1.04264058926487,0
"spread_only",5,500,10,97,45,0,1,0,0.940498993517219,0
"spread_only",5,500,10,98,45,0.0222222222222222,0.977777777777778,0,0.989363660329405,-0.00148318248051627
"spread_only",5,500,10,99,45,0,1,0,0.999336577398606,0
"spread_only",5,500,10,100,45,0,1,0,0.981030417279414,0
"spread_only",10,500,10,1,45,0,1,0,1.01869802941811,0
"spread_only",10,500,10,2,45,0,1,0,0.969307582566503,0
"spread_only",10,500,10,3,45,0,1,0,1.00220638469102,0
"spread_only",10,500,10,4,45,0,1,0,0.925164395885002,0
"spread_only",10,500,10,5,45,0,1,0,0.895704516994056,0
"spread_only",10,500,10,6,45,0,1,0,0.858267389065801,0
"spread_only",10,500,10,7,45,0,1,0,0.963323845041884,0
"spread_only",10,500,10,8,45,0,1,0,0.883851071664137,0
"spread_only",10,500,10,9,45,0,1,0,0.885658699638268,0
"spread_only",10,500,10,10,45,0,1,0,0.881175277853147,0
"spread_only",10,500,10,11,45,0,1,0,0.958467960455027,0
"spread_only",10,500,10,12,45,0,1,0,0.984137096476837,0
"spread_only",10,500,10,13,45,0,1,0,0.996402081289521,0
"spread_only",10,500,10,14,45,0,1,0,0.913568631129487,0
"spread_only",10,500,10,15,45,0,1,0,0.998197191946185,0
"spread_only",10,500,10,16,45,0,1,0,0.864786727845177,0
"spread_only",10,500,10,17,45,0,1,0,0.969189596037699,0
"spread_only",10,500,10,18,45,0,1,0,0.996207193657455,0
"spread_only",10,500,10,19,45,0,1,0,0.841512844138265,0
"spread_only",10,500,10,20,45,0,1,0,0.903234210004869,0
"spread_only",10,500,10,21,45,0,1,0,0.972606874902946,0
"spread_only",10,500,10,22,45,0,1,0,0.999939153007571,0
"spread_only",10,500,10,23,45,0,1,0,0.954648233555403,0
"spread_only",10,500,10,24,45,0,1,0,1.00061418791464,0
"spread_only",10,500,10,25,45,0,1,0,0.997331644915802,0
"spread_only",10,500,10,26,45,0,1,0,0.886619374588027,0
"spread_only",10,500,10,27,45,0,1,0,0.990518711075866,0
"spread_only",10,500,10,28,45,0,1,0,0.922134199492579,0
"spread_only",10,500,10,29,45,0,1,0,0.991478683677825,0
"spread_only",10,500,10,30,45,0,1,0,0.970710022606146,0
"spread_only",10,500,10,31,45,0,1,0,0.981912683885957,0
"spread_only",10,500,10,32,45,0,1,0,0.936812781664964,0
"spread_only",10,500,10,33,45,0,1,0,0.944606563519541,0
"spread_only",10,500,10,34,45,0,1,0,0.978871833156094,0
"spread_only",10,500,10,35,45,0,1,0,0.944519425223926,0
"spread_only",10,500,10,36,45,0,1,0,0.968847715203204,0
"spread_only",10,500,10,37,45,0,1,0,0.937845047049217,0
"spread_only",10,500,10,38,45,0,1,0,0.981653800663978,0
"spread_only",10,500,10,39,45,0,1,0,0.95661547760406,0
"spread_only",10,500,10,40,45,0,1,0,0.954341459184978,0
"spread_only",10,500,10,41,45,0,1,0,0.79577960347282,0
"spread_only",10,500,10,42,45,0,1,0,0.845570252537925,0
"spread_only",10,500,10,43,45,0,1,0,0.915622400289415,0
"spread_only",10,500,10,44,45,0,1,0,0.910566588082138,0
"spread_only",10,500,10,45,45,0,1,0,0.879835116141353,0
"spread_only",10,500,10,46,45,0,1,0,0.929272921800736,0
"spread_only",10,500,10,47,45,0,1,0,1.0097519252369,0
"spread_only",10,500,10,48,45,0,1,0,0.988905582133984,0
"spread_only",10,500,10,49,45,0,1,0,0.976539940046524,0
"spread_only",10,500,10,50,45,0,1,0,0.857508768663421,0
"spread_only",10,500,10,51,45,0,1,0,0.916702452239428,0
"spread_only",10,500,10,52,45,0,1,0,0.998698554879733,0
"spread_only",10,500,10,53,45,0,1,0,0.983983170002165,0
"spread_only",10,500,10,54,45,0,1,0,0.902288484294499,0
"spread_only",10,500,10,55,45,0,1,0,0.797237547974152,0
"spread_only",10,500,10,56,45,0,1,0,0.87603970428216,0
"spread_only",10,500,10,57,45,0,1,0,0.901636897223327,0
"spread_only",10,500,10,58,45,0,1,0,0.842631401028916,0
"spread_only",10,500,10,59,45,0,1,0,0.929645939138847,0
"spread_only",10,500,10,60,45,0,1,0,0.860753771177323,0
"spread_only",10,500,10,61,45,0,1,0,1.00338418504602,0
"spread_only",10,500,10,62,45,0,1,0,0.866711278374027,0
"spread_only",10,500,10,63,45,0,1,0,0.90036039362152,0
"spread_only",10,500,10,64,45,0,1,0,1.02352111850908,0
"spread_only",10,500,10,65,45,0,1,0,1.00611930675723,0
"spread_only",10,500,10,66,45,0,1,0,0.991087817160567,0
"spread_only",10,500,10,67,45,0,1,0,0.99089059388728,0
"spread_only",10,500,10,68,45,0,1,0,0.802774255016629,0
"spread_only",10,500,10,69,45,0,1,0,1.01049957752255,0
"spread_only",10,500,10,70,45,0,1,0,0.958817308202976,0
"spread_only",10,500,10,71,45,0,1,0,0.888026200749145,0
"spread_only",10,500,10,72,45,0,1,0,0.882214297057379,0
"spread_only",10,500,10,73,45,0,1,0,0.953422175038836,0
"spread_only",10,500,10,74,45,0,1,0,0.936493241126533,0
"spread_only",10,500,10,75,45,0,1,0,1.01281721316668,0
"spread_only",10,500,10,76,45,0,1,0,0.807346721433819,0
"spread_only",10,500,10,77,45,0,1,0,0.982165437706901,0
"spread_only",10,500,10,78,45,0,1,0,0.945391522115352,0
"spread_only",10,500,10,79,45,0,1,0,0.938535899281845,0
"spread_only",10,500,10,80,45,0,1,0,0.816600952910717,0
"spread_only",10,500,10,81,45,0,1,0,1.02888535265866,0
"spread_only",10,500,10,82,45,0,1,0,0.937962350847569,0
"spread_only",10,500,10,83,45,0,1,0,0.925851477407442,0
"spread_only",10,500,10,84,45,0,1,0,0.961917538593103,0
"spread_only",10,500,10,85,45,0,1,0,0.89020600667453,0
"spread_only",10,500,10,86,45,0,1,0,0.898457059155936,0
"spread_only",10,500,10,87,45,0,1,0,1.01893752816037,0
"spread_only",10,500,10,88,45,0,1,0,0.970289917103094,0
"spread_only",10,500,10,89,45,0,1,0,0.990192648280658,0
"spread_only",10,500,10,90,45,0,1,0,1.01690328333352,0
"spread_only",10,500,10,91,45,0,1,0,0.97938265763142,0
"spread_only",10,500,10,92,45,0,1,0,0.806680273067212,0
"spread_only",10,500,10,93,45,0,1,0,0.99392171658883,0
"spread_only",10,500,10,94,45,0,1,0,0.741676725931968,0
"spread_only",10,500,10,95,45,0,1,0,0.867377925551681,0
"spread_only",10,500,10,96,45,0,1,0,0.966180058075945,0
"spread_only",10,500,10,97,45,0,1,0,0.977355907514751,0
"spread_only",10,500,10,98,45,0,1,0,0.996334842120423,0
"spread_only",10,500,10,99,45,0,1,0,0.8332488728353,0
"spread_only",10,500,10,100,45,0,1,0,0.965574797725279,0
"homoscedastic",2,500,10,1,45,1,0,0,-0.000786061089712787,-0.000786061089712787
"homoscedastic",2,500,10,2,45,1,0,0,-0.00274692349797873,-0.00274692349797873
"homoscedastic",2,500,10,3,45,1,0,0,-0.000484889376687285,-0.000484889376687285
"homoscedastic",2,500,10,4,45,1,0,0,-0.00141895415563516,-0.00141895415563516
"homoscedastic",2,500,10,5,45,1,0,0,-0.000915272052495192,-0.000915272052495192
"homoscedastic",2,500,10,6,45,1,0,0,-0.000432702327568283,-0.000432702327568283
"homoscedastic",2,500,10,7,45,1,0,0,-0.000679678452657982,-0.000679678452657982
"homoscedastic",2,500,10,8,45,1,0,0,-0.000789787913341122,-0.000789787913341122
"homoscedastic",2,500,10,9,45,1,0,0,-0.00059074872660117,-0.00059074872660117
"homoscedastic",2,500,10,10,45,1,0,0,-0.00100132785283383,-0.00100132785283383
