"scenario","K","n","p","rep","n_pairs","prop_corr_decrease","prop_corr_increase","prop_corr_equal","mean_signed_diff","mean_negative_diff"
"heteroscedastic",2,500,10,61,45,1,0,0,-0.0205396819792123,-0.0205396819792123
"heteroscedastic",2,500,10,62,45,1,0,0,-0.0223464422887741,-0.0223464422887741
"heteroscedastic",2,500,10,63,45,1,0,0,-0.0152798994282727,-0.0152798994282727
"heteroscedastic",2,500,10,64,45,1,0,0,-0.0141490814042139,-0.0141490814042139
"heteroscedastic",2,500,10,65,45,1,0,0,-0.0192550008947794,-0.0192550008947794
"heteroscedastic",2,500,10,66,45,1,0,0,-0.0207169320858423,-0.0207169320858423
"heteroscedastic",2,500,10,67,45,1,0,0,-0.019640652272718,-0.019640652272718
"heteroscedastic",2,500,10,68,45,1,0,0,-0.0260307443295599,-0.0260307443295599
"heteroscedastic",2,500,10,69,45,1,0,0,-0.0206623514078579,-0.0206623514078579
"heteroscedastic",2,500,10,70,45,1,0,0,-0.0174901355114532,-0.0174901355114532
"heteroscedastic",2,500,10,71,45,1,0,0,-0.0269493000671698,-0.0269493000671698
"heteroscedastic",2,500,10,72,45,1,0,0,-0.0207132107032808,-0.0207132107032808
"heteroscedastic",2,500,10,73,45,1,0,0,-0.023714464481019,-0.023714464481019
"heteroscedastic",2,500,10,74,45,1,0,0,-0.0154843182845744,-0.0154843182845744
"heteroscedastic",2,500,10,75,45,1,0,0,-0.0176953759378283,-0.0176953759378283
"heteroscedastic",2,500,10,76,45,1,0,0,-0.0218190196299017,-0.0218190196299017
"heteroscedastic",2,500,10,77,45,1,0,0,-0.0156689363026354,-0.0156689363026354
"heteroscedastic",2,500,10,78,45,1,0,0,-0.0205495774654415,-0.0205495774654415
"heteroscedastic",2,500,10,79,45,1,0,0,-0.0136946189067718,-0.0136946189067718
"heteroscedastic",2,500,10,80,45,1,0,0,-0.0193292529721995,-0.0193292529721995
"heteroscedastic",2,500,10,81,45,1,0,0,-0.0206410026036532,-0.0206410026036532
"heteroscedastic",2,500,10,82,45,1,0,0,-0.0181142942684291,-0.0181142942684291
"heteroscedastic",2,500,10,83,45,1,0,0,-0.0131389114916416,-0.0131389114916416
"heteroscedastic",2,500,10,84,45,1,0,0,-0.016975483455627,-0.016975483455627
"heteroscedastic",2,500,10,85,45,1,0,0,-0.0172762110114243,-0.0172762110114243
"heteroscedastic",2,500,10,86,45,1,0,0,-0.0130745290760703,-0.0130745290760703
"heteroscedastic",2,500,10,87,45,1,0,0,-0.0242046645827968,-0.0242046645827968
"heteroscedastic",2,500,10,88,45,1,0,0,-0.0163185625472219,-0.0163185625472219
"heteroscedastic",2,500,10,89,45,1,0,0,-0.0206822720867579,-0.0206822720867579
"heteroscedastic",2,500,10,90,45,1,0,0,-0.0215544151076081,-0.0215544151076081
"heteroscedastic",2,500,10,91,45,1,0,0,-0.0136847227142867,-0.0136847227142867
"heteroscedastic",2,500,10,92,45,1,0,0,-0.0221143348828245,-0.0221143348828245
"heteroscedastic",2,500,10,93,45,1,0,0,-0.0154341349965045,-0.0154341349965045
"heteroscedastic",2,500,10,94,45,1,0,0,-0.0163636992472775,-0.0163636992472775
"heteroscedastic",2,500,10,95,45,1,0,0,-0.0253854125693573,-0.0253854125693573
"heteroscedastic",2,500,10,96,45,1,0,0,-0.0234240814964194,-0.0234240814964194
"heteroscedastic",2,500,10,97,45,1,0,0,-0.0219737820943248,-0.0219737820943248
"heteroscedastic",2,500,10,98,45,1,0,0,-0.0163954266166744,-0.0163954266166744
"heteroscedastic",2,500,10,99,45,1,0,0,-0.0167755771467015,-0.0167755771467015
"heteroscedastic",2,500,10,100,45,1,0,0,-0.0160123264152917,-0.0160123264152917
"heteroscedastic",3,500,10,1,45,0.977777777777778,0.0222222222222222,0,-0.0184701771555506,-0.0189262558471327
"heteroscedastic",3,500,10,2,45,0.977777777777778,0.0222222222222222,0,-0.022816330339062,-0.0234660939447379
"heteroscedastic",3,500,10,3,45,0.977777777777778,0.0222222222222222,0,-0.018237660834003,-0.0186637075415452
"heteroscedastic",3,500,10,4,45,1,0,0,-0.023457613981816,-0.023457613981816
"heteroscedastic",3,500,10,5,45,1,0,0,-0.0218411360068125,-0.0218411360068125
"heteroscedastic",3,500,10,6,45,0.977777777777778,0.0222222222222222,0,-0.0248327085589537,-0.0254279792318533
"heteroscedastic",3,500,10,7,45,0.977777777777778,0.0222222222222222,0,-0.0239793764885529,-0.0245310240673765
"heteroscedastic",3,500,10,8,45,1,0,0,-0.0209985558692494,-0.0209985558692494
"heteroscedastic",3,500,10,9,45,1,0,0,-0.0269294688038184,-0.0269294688038184
"heteroscedastic",3,500,10,10,45,0.977777777777778,0.0222222222222222,0,-0.0308236209848124,-0.03153404831347
"heteroscedastic",3,500,10,11,45,0.955555555555556,0.0444444444444444,0,-0.0253839871370471,-0.0265892307093397
"heteroscedastic",3,500,10,12,45,0.977777777777778,0.0222222222222222,0,-0.0275176063919073,-0.0284621529691878
"heteroscedastic",3,500,10,13,45,0.955555555555556,0.0444444444444444,0,-0.0165338774870832,-0.0173548993810842
"heteroscedastic",3,500,10,14,45,1,0,0,-0.026970278838257,-0.026970278838257
"heteroscedastic",3,500,10,15,45,0.977777777777778,0.0222222222222222,0,-0.017944897893897,-0.0183645406656342
"heteroscedastic",3,500,10,16,45,1,0,0,-0.0222033459560083,-0.0222033459560083
"heteroscedastic",3,500,10,17,45,0.933333333333333,0.0666666666666667,0,-0.016477419816751,-0.0176961777879254
"heteroscedastic",3,500,10,18,45,0.977777777777778,0.0222222222222222,0,-0.0226854378610207,-0.0232023752393645
"heteroscedastic",3,500,10,19,45,0.911111111111111,0.0888888888888889,0,-0.0246539080375965,-0.0271668901297158
"heteroscedastic",3,500,10,20,45,1,0,0,-0.0199925775024839,-0.0199925775024839
"heteroscedastic",3,500,10,21,45,0.977777777777778,0.0222222222222222,0,-0.0269964193456442,-0.0276161970468804
