eta_b_waba,eta_b_iwaba,info_gain,radius_prop,scenario,K,n,p,rep
0.6653339185585021,0.6979493304239233,1.1947755701696483,0.16302272580112417,Heteroscedastic,2,100,2,0
0.5614350361213032,0.5888162014873228,1.1144384061591937,0.1026870624044578,Heteroscedastic,2,100,2,1
0.5704861519983639,0.5923796490025879,1.1191482905849965,0.10646336288707187,Heteroscedastic,2,100,2,2
0.6800937277406585,0.6963389848654249,1.0875615306968507,0.08051179471265954,Heteroscedastic,2,100,2,3
0.7349297723997786,0.751969751339145,1.107635423802305,0.09717585903203836,Heteroscedastic,2,100,2,4
0.6031264783484311,0.6258177795298692,1.1279484051246833,0.11343462568267022,Heteroscedastic,2,100,2,5
0.5777851864816823,0.607258074758378,1.147235587475383,0.12833945275302272,Heteroscedastic,2,100,2,6
0.63252989756812,0.6712755911646815,1.211186867289072,0.17436357096717792,Heteroscedastic,2,100,2,7
0.6299826570003922,0.6593036760408402,1.166884374724709,0.14301706179250215,Heteroscedastic,2,100,2,8
0.7131403521019859,0.7271163963461726,1.084251587866459,0.07770483235560235,Heteroscedastic,2,100,2,9
0.6336504761463517,0.6540996197259539,1.117694062287391,0.10530078512408562,Heteroscedastic,2,100,2,10
0.7080778580978949,0.7296665819555836,1.1277927535288914,0.11331226692938455,Heteroscedastic,2,100,2,11
0.5394867920439906,0.5701989466654405,1.173004070750478,0.14748803952555045,Heteroscedastic,2,100,2,12
0.5356654217532151,0.568311865885613,1.187701307705256,0.15803746824857143,Heteroscedastic,2,100,2,13
0.6797563142894067,0.7108346109650607,1.1883093414687054,0.15846828338146535,Heteroscedastic,2,100,2,14
0.5173906436576678,0.5437910925753282,1.147850454302681,0.12880637346831061,Heteroscedastic,2,100,2,15
0.556931856490819,0.5913580563073212,1.188480519499441,0.1585894900312075,Heteroscedastic,2,100,2,16
0.5342614273935473,0.5636916754847375,1.1805204605915463,0.15291599478173332,Heteroscedastic,2,100,2,17
0.5509392784460125,0.5888277289983302,1.1580595265478413,0.1364865302036886,Heteroscedastic,2,100,2,18
0.6165166088896123,0.6547054724556556,1.2266361309750864,0.18476231479903266,Heteroscedastic,2,100,2,19
0.65915765946246,0.6762990718644898,1.0836549431774867,0.0771970300178709,Heteroscedastic,2,100,2,20
0.6443007848198408,0.6599388908798447,1.0762179054103098,0.07082014248894285,Heteroscedastic,2,100,2,21
0.5894689468451432,0.6268195615225853,1.1530901307848578,0.1327651036963226,Heteroscedastic,2,100,2,22
0.5807466269864981,0.6097245061693708,1.166025884755935,0.1423861055972068,Heteroscedastic,2,100,2,23
0.6409408177987191,0.6565595385871885,1.0916869895441885,0.08398651850057351,Heteroscedastic,2,100,2,24
0.5851749295455928,0.6288564476918254,1.2544348679155684,0.20282828102374895,Heteroscedastic,2,100,2,25
0.5440145507210377,0.5883836370544253,1.2551546369730273,0.20328541954668375,Heteroscedastic,2,100,2,26
0.553424648842636,0.5687271085775483,1.0844276034207252,0.07785453187875904,Heteroscedastic,2,100,2,27
0.6495122057544346,0.6715631563367995,1.1256996044925116,0.11166354149087539,Heteroscedastic,2,100,2,28
0.6253926633422999,0.6519091728313837,1.1370824431153488,0.12055629206601232,Heteroscedastic,2,100,2,29
0.6273943096281,0.6357513364524874,1.050636860966617,0.04819634913630357,Heteroscedastic,2,100,2,30
0.6614738036885193,0.6903035903766204,1.1697813225847213,0.14513936862111665,Heteroscedastic,2,100,2,31
0.6774447381325219,0.6884512688730611,1.0623559705558268,0.05869592893915005,Heteroscedastic,2,100,2,32
0.6190006432352415,0.65642690428625,1.216305372662331,0.17783804751998014,Heteroscedastic,2,100,2,33
0.6139889885867668,0.6485593285072085,1.2022068333554092,0.16819637665096399,Heteroscedastic,2,100,2,34
0.6452463971983693,0.6523975177056234,1.038672947090907,0.03723303586487106,Heteroscedastic,2,100,2,35
0.6383179088584421,0.6568520717447053,1.1042829659677302,0.09443500369159694,Heteroscedastic,2,100,2,36
0.5251108777499962,0.5652289411165049,1.2347878444899365,0.1901442790659494,Heteroscedastic,2,100,2,37
0.6672633555025586,0.6827539614689688,1.073719060797981,0.06865768103547812,Heteroscedastic,2,100,2,38
0.5700404571160869,0.5860253109827713,1.0693121352965917,0.06481936658968793,Heteroscedastic,2,100,2,39
0.5550638380223036,0.5794344299731631,1.1239409585984577,0.11027354920227371,Heteroscedastic,2,100,2,40
0.5595610361096179,0.6049560278738715,1.2681330159474662,0.21143918861471708,Heteroscedastic,2,100,2,41
0.6246491835427065,0.6377730202622398,1.0712504932266824,0.06651151497916322,Heteroscedastic,2,100,2,42
0.6905543880110727,0.7137186744546902,1.1268600750125268,0.11257837403735912,Heteroscedastic,2,100,2,43
0.5779681310125832,0.6124193261823353,1.1800151672799857,0.1525532656456719,Heteroscedastic,2,100,2,44
0.539046412425461,0.588468694684169,1.2949262080252877,0.22775522357759564,Heteroscedastic,2,100,2,45
0.7496735291364651,0.7619508313312291,1.0796109186272025,0.07374037929185931,Heteroscedastic,2,100,2,46
0.5830291268379452,0.604530056946635,1.119461181690637,0.10671310773833524,Heteroscedastic,2,100,2,47
0.5723283363139176,0.6168730151650832,1.2677719853688179,0.21121462570488828,Heteroscedastic,2,100,2,48
0.5714943591470394,0.6071696290917343,1.2030207019826702,0.16875910917249937,Heteroscedastic,2,100,2,49
0.6380211964947755,0.6756041977200149,1.1814493417522687,0.15358199064477168,Heteroscedastic,2,100,2,50
0.6152160055828644,0.623797952389612,1.0428054279046017,0.041048336304323196,Heteroscedastic,2,100,2,51
0.728383310397697,0.7419445864719965,1.0859971491114229,0.07918726967357781,Heteroscedastic,2,100,2,52
0.6028845728013182,0.6379117961881128,1.1925532554406657,0.16146302444959945,Heteroscedastic,2,100,2,53
0.5962028396416921,0.6354671486143997,1.225835223255999,0.18422967375349797,Heteroscedastic,2,100,2,54
0.7008924895961064,0.708131469221381,1.0406748123206901,0.039085035824001434,Heteroscedastic,2,100,2,55
0.645330145995895,0.6670708051274086,1.1171167321874442,0.10483840122787873,Heteroscedastic,2,100,2,56
0.5244485859988799,0.5640672181687404,1.2083343327989504,0.17241447763581358,Heteroscedastic,2,100,2,57
0.6377957176289386,0.6716039145322954,1.195001930044731,0.1631812678640876,Heteroscedastic,2,100,2,58
0.6287694884436265,0.6428576234951664,1.0782327203590443,0.07255643320951438,Heteroscedastic,2,100,2,59
0.6502839351288455,0.665834399138516,1.065808752237728,0.06174536669881798,Heteroscedastic,2,100,2,60
0.6195890347320705,0.658371482383249,1.2224520449464846,0.18197200116444898,Heteroscedastic,2,100,2,61
0.6838226382974639,0.6974055374414441,1.0663566376200653,0.062227434311434814,Heteroscedastic,2,100,2,62
0.5496673274311218,0.5733572136440993,1.1276272805921899,0.11318215051090687,Heteroscedastic,2,100,2,63
0.6618530480224786,0.6945761106339745,1.1959414436664202,0.16383866008164985,Heteroscedastic,2,100,2,64
0.6624439468594832,0.684232228308264,1.1164597269110073,0.10431162370112991,Heteroscedastic,2,100,2,65
0.5307017009433694,0.5689787437688532,1.2251328000748936,0.18376195630476225,Heteroscedastic,2,100,2,66
0.6531755224359068,0.6702819644460059,1.0955401542729022,0.08720826333956794,Heteroscedastic,2,100,2,67
