"setting","n","rep","B","delta_E_truth","delta_A_truth","r_R_het_truth","delta_E_estimate","delta_E_lower","delta_E_upper","delta_E_defined","delta_E_length","delta_E_coverage","delta_A_estimate","delta_A_lower","delta_A_upper","delta_A_defined","delta_A_length","delta_A_coverage","r_R_het_estimate","r_R_het_lower","r_R_het_upper","r_R_het_defined","r_R_het_length","r_R_het_coverage","group_sizes"
"skewed_lognormal_balanced",100,1,199,0.335133333333333,0.339426490971632,0.927105069301106,0.559314902692576,0.275039668169654,0.967109460424248,TRUE,0.692069792254593,TRUE,0.121307940953804,0.0232020473581065,0.484412107458542,TRUE,0.461210060100436,TRUE,-0.70053219458718,-0.840233038742014,0.799779000080255,TRUE,1.64001203882227,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,2,199,0.335133333333333,0.339426490971632,0.927105069301106,0.822962413578492,0.594067475059827,1.26742329440804,TRUE,0.673355819348211,FALSE,0.480230944411871,0.394342002403949,0.601477068733712,TRUE,0.207135066329764,FALSE,0.860256346561282,0.110496250116413,0.959415715551771,TRUE,0.848919465435358,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,3,199,0.335133333333333,0.339426490971632,0.927105069301106,0.387698235327043,0.224463325776031,0.692061530320615,TRUE,0.467598204544583,TRUE,0.382416744265219,0.291660822735976,0.482323572527415,TRUE,0.190662749791439,TRUE,0.657629440709491,-0.856890485181577,0.933878103618632,TRUE,1.79076858880021,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,4,199,0.335133333333333,0.339426490971632,0.927105069301106,0.943905752108138,0.768359543983378,1.27542250444713,TRUE,0.507062960463749,FALSE,0.284404418068036,0.217804575714645,0.524594852690281,TRUE,0.306790276975635,TRUE,0.674815575053476,0.125667579934439,0.962959985334002,TRUE,0.837292405399563,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,5,199,0.335133333333333,0.339426490971632,0.927105069301106,0.479492058606024,0.18431903234123,0.879956158464445,TRUE,0.695637126123214,TRUE,0.449547664796123,0.364851585653381,0.560161193929795,TRUE,0.195309608276413,FALSE,-0.629537554312984,-0.847609673627487,0.529046507712056,TRUE,1.37665618133954,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,6,199,0.335133333333333,0.339426490971632,0.927105069301106,0.619454196151106,0.457012006515064,0.940200093303162,TRUE,0.483188086788098,FALSE,0.465155122496653,0.3662339053887,0.576657863739523,TRUE,0.210423958350823,FALSE,0.614078959629847,-0.369782524350886,0.897807471681585,TRUE,1.26758999603247,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,7,199,0.335133333333333,0.339426490971632,0.927105069301106,0.826996775925537,0.607799686929582,1.27199802494176,TRUE,0.664198338012175,FALSE,0.408742966700976,0.288911104070849,0.524950293933734,TRUE,0.236039189862885,TRUE,0.20897496363366,-0.572026287782015,0.869063640669788,TRUE,1.4410899284518,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,8,199,0.335133333333333,0.339426490971632,0.927105069301106,0.737926835773013,0.541681009977789,1.12240416572531,TRUE,0.580723155747518,FALSE,0.440752821733958,0.342406747541138,0.606479124306651,TRUE,0.264072376765514,FALSE,0.326405674319184,-0.566842590518776,0.819464803366342,TRUE,1.38630739388512,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,9,199,0.335133333333333,0.339426490971632,0.927105069301106,0.271802951706416,-0.131004091579968,0.790164159928871,TRUE,0.921168251508838,TRUE,0.385766295896454,0.292519198818064,0.547526420687193,TRUE,0.25500722186913,TRUE,0.533545521343752,-0.506760231731116,0.945805440725545,TRUE,1.45256567245666,TRUE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,10,199,0.335133333333333,0.339426490971632,0.927105069301106,0.152740619548679,-0.39851673761208,0.766249062793728,TRUE,1.16476580040581,TRUE,0.324824597095602,0.178122125596516,0.52488919140359,TRUE,0.346767065807074,TRUE,-0.363897972076064,-0.84348898451915,0.726737740891253,TRUE,1.5702267254104,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,11,199,0.335133333333333,0.339426490971632,0.927105069301106,0.772106907814896,0.585730832812922,1.09514828387952,TRUE,0.509417451066596,FALSE,0.391907561217102,0.301297709652227,0.540684441251605,TRUE,0.239386731599377,TRUE,0.422958213129342,-0.404732859458523,0.881155853556402,TRUE,1.28588871301492,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,12,199,0.335133333333333,0.339426490971632,0.927105069301106,0.657806430320775,0.431054044073433,1.03547519689944,TRUE,0.604421152826011,FALSE,0.511070390394901,0.414664502061034,0.610169532187762,TRUE,0.195505030126728,FALSE,0.513956315980447,-0.618148176294919,0.913722981375047,TRUE,1.53187115766997,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,13,199,0.335133333333333,0.339426490971632,0.927105069301106,0.53008505108336,0.136631915374075,0.986869929485876,TRUE,0.850238014111801,TRUE,0.311422757386113,0.187689216676487,0.467354820301954,TRUE,0.279665603625467,TRUE,-0.173279241459485,-0.644759902980763,0.849938091016727,TRUE,1.49469799399749,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,14,199,0.335133333333333,0.339426490971632,0.927105069301106,0.411869428813578,0.2265966744594,0.67020287144584,TRUE,0.44360619698644,TRUE,0.43490555333312,0.276784807227109,0.609825654256588,TRUE,0.333040847029479,TRUE,-0.0563483462498984,-0.699634894331976,0.735748810312292,TRUE,1.43538370464427,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,15,199,0.335133333333333,0.339426490971632,0.927105069301106,0.611803825047718,0.454273466030392,0.861428510418513,TRUE,0.407155044388121,FALSE,0.436876896818948,0.308825828493847,0.568915498049775,TRUE,0.260089669555928,TRUE,0.376485386761376,-0.291550639301677,0.905508397024382,TRUE,1.19705903632606,FALSE,"20,20,20,20,20"
"skewed_lognormal_balanced",100,16,199,0.335133333333333,0.339426490971632,0.927105069301106,0.723564595695715,0.599489794317789,0.912411182150212,TRUE,0.312921387832424,FALSE,0.337691783593769,0.155076486606298,0.597100184792377,TRUE,0.44202369818608,TRUE,0.0515434218209128,-0.502525457897625,0.775500816618613,TRUE,1.27802627451624,FALSE,"20,20,20,20,20"
