"pair_label","var1","var2","r_between_waba","r_within","r_between_int","weighted_between_waba","weighted_within_waba","weighted_between_int","weighted_within_int","delta_A","dominance_waba","dominance_iwaba","flipped"
"COHES--LEAD","COHES","LEAD",0.653259918381386,0.405271452128045,0.897297739746161,0.0576038787456049,0.365578785360285,0.27389982107401,0.281015763038279,-0.00394874709161173,"Within","Within",FALSE
"COHES--WBEING","COHES","WBEING",0.271475033883808,0.238488643611727,0.884060871433602,0.015229424255125,0.225109284032587,0.249309880489864,0.171233536388394,0.0328344925257949,"Within","Between",TRUE
"COHES--HRS","COHES","HRS",-0.0275926070740169,-0.111481274645456,0.729224408279776,-0.00248520256038201,-0.100214977234731,0.223805089799015,-0.0770934217113961,0.0441453225487742,"Within","Between",TRUE
"LEAD--WBEING","LEAD","WBEING",0.532317759922493,0.420113909371022,0.870416821727617,0.0465741275895587,0.379143512461305,0.265455680520478,0.291410420074681,-0.0144533146075117,"Within","Within",FALSE
"LEAD--HRS","LEAD","HRS",-0.299579288678393,-0.107624529167174,0.557941245252374,-0.0420824508155703,-0.0925023649893364,0.18518450967037,-0.0719024277759525,0.0291233435017795,"Within","Between",TRUE
"WBEING--HRS","WBEING","HRS",-0.712172853974945,-0.110703088581513,0.578078937809277,-0.063644741783466,-0.0995616395189053,0.177257851680681,-0.0765823133656373,0.0255554952620176,"Within","Between",TRUE
