"scenario","n","rep","true_delta_E_1","true_delta_A_12","true_r_R_het_12","true_r_R_het_defined","sample_delta_E_1","sample_delta_A_12","sample_r_R_het_12","sample_r_R_het_defined","ci_delta_E_lower","ci_delta_E_upper","ci_delta_A_lower","ci_delta_A_upper","ci_r_R_het_lower","ci_r_R_het_upper","cover_delta_E_1","cover_delta_A_12","cover_r_R_het_12","len_delta_E_1","len_delta_A_12","len_r_R_het_12","bf_pvalue_x1","reject_bf_x1","reject_r_R_het_zero","boot_r_R_het_defined_rate"
"aligned_heteroscedastic",100,1,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.635463226151233,0.355049863061785,0.379727882472521,TRUE,0.251691106811118,1.14370384366555,0.277152691957781,0.422565674938604,-0.142767271178302,0.815995592041071,TRUE,TRUE,FALSE,0.892012736854431,0.145412982980823,0.958762863219374,0.0254277550100921,TRUE,FALSE,1
"aligned_heteroscedastic",100,2,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.853525363628838,0.383856418034092,0.64690851882199,TRUE,0.363824828557647,1.4966895208838,0.311285295085028,0.456453238735936,0.128067169944874,0.90338967494147,FALSE,TRUE,FALSE,1.13286469232616,0.145167943650908,0.775322504996596,0.0010320843192988,TRUE,TRUE,1
"aligned_heteroscedastic",100,3,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.0672948368367321,0.267354809735474,0.639030518850724,TRUE,-0.177537421220454,0.529764531352362,0.185782899098409,0.341323881962077,-0.107606230495884,0.928740202532602,TRUE,TRUE,TRUE,0.707301952572816,0.155540982863669,1.03634643302849,0.0051401253063772,TRUE,FALSE,1
"aligned_heteroscedastic",100,4,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.766883715113473,0.385416937084644,0.554965344935924,TRUE,0.465201292261736,1.3220239744004,0.31012607910615,0.462319802049871,0.0015356509345623,0.889004340636378,FALSE,TRUE,FALSE,0.856822682138669,0.152193722943721,0.887468689701815,4.92507411800069e-05,TRUE,TRUE,1
"aligned_heteroscedastic",100,5,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,-0.0252953904390469,0.278907360997871,0.071005192430142,TRUE,-0.462655400965008,0.568681869882818,0.18786491064834,0.381436932374257,-0.551072322829097,0.760049591845628,TRUE,TRUE,FALSE,1.03133727084783,0.193572021725917,1.31112191467472,0.00205015583188617,TRUE,FALSE,1
"aligned_heteroscedastic",100,6,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.402230870769299,0.383773945529661,0.993138873809688,TRUE,0.114826305672862,0.896441020905888,0.308007292369227,0.464101025161573,0.183674098396415,0.978896020944202,TRUE,TRUE,TRUE,0.781614715233026,0.156093732792347,0.795221922547787,0.0918483551839472,FALSE,TRUE,1
"aligned_heteroscedastic",100,7,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.869866147062807,0.394082217104849,0.562089971304462,TRUE,0.543345146989821,1.32810433945612,0.302537508471035,0.473976820721675,-0.103946065522281,0.861984104596803,FALSE,TRUE,FALSE,0.784759192466302,0.17143931225064,0.965930170119085,0.00372520335907123,TRUE,FALSE,1
"aligned_heteroscedastic",100,8,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.871444207065989,0.400372552389759,0.366660440446854,TRUE,0.595281272620958,1.28797170591647,0.313059349252376,0.474246475909729,-0.290092082940199,0.846258703135891,FALSE,TRUE,FALSE,0.69269043329551,0.161187126657353,1.13635078607609,0.00911664492620723,TRUE,FALSE,1
"aligned_heteroscedastic",100,9,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,0.315164878230291,0.363426018810855,0.869783824455323,TRUE,-0.174025238067335,1.00558839869395,0.265629150655506,0.437772295254002,-0.0294485612643256,0.96953152938218,TRUE,TRUE,TRUE,1.17961363676129,0.172143144598496,0.998980090646506,0.00752977509956942,TRUE,FALSE,1
"aligned_heteroscedastic",100,10,0.335133333333333,0.339426490971632,0.927105069301106,TRUE,-0.108083426594714,0.269670406169504,0.40442558592592,TRUE,-0.448049093772597,0.548342640898747,0.179898191465918,0.355686771340048,-0.115040466788035,0.809706972653468,TRUE,TRUE,FALSE,0.996391734671344,0.175788579874131,0.924747439441502,0.000456948924811185,TRUE,FALSE,1
